question,answer
el supermercado,supermarket
catorce,14
el hotel,hotel
vosotros/as,you all (informal Spain)
precioso,beautiful
la piscina/la alberca,swimming pool
tu,your
las joyas,jewelry
la selección,selection
la camisa,shirt
¿Dónde?,Where?
costar (o --> ue),to cost
el primo,cousin
las sandalias,sandals
él,he
quince,15
elegante,elegant
50,cincuenta
nosotros/as,we
el abuelo,grandfather
la librería,bookstore
marrón,brown
la tarjeta de crédito,credit card
hablar,to talk
La profesora es simpática.,The female teacher is nice.
escuchar música,to listen to music
el bolso,purse
encantar,to be delightful to/to love (like alot)
el abogado,lawyer
Estudiante,Student
aprender idiomas,to learn languages
Poder,to be able to
diecinueve,19
los guantes,gloves
Los estudiantes estadounidenses estudian idiomas.,The American students study languages.
Aquella,that over there (feminine singular)
barato,cheap
el/la estudiante,student
tienen (tener ellos/ellas/Uds),They have
tres,3
A mí también,Me too
¿Qué ingredientes lleva?,What ingredients does it have?
el centro comercial,shopping mall
¿Cómo estás?,How are you?
Esa,that one (feminine)
usado,used
la bicicleta,bicycle
el yerno,son-in-law
vas (ir tu),You go
el tren (bala),bullet train
son,They/You all are
Voy a comprar zapatos nuevos para la fiesta.,I’m going to buy new shoes for the party.
la tienda,store
moderno,modern
la falda,skirt
dieciséis,16
mi,my
gastar,to spend
caótico/a,chaotic
montar en bicicleta,to ride a bike
Esos,those ones (masculine)
vive (vivir él/ella/Ud.),He/She/You live
el autobús,bus
la gorra,baseball cap
Estas,these ones (feminine)
comprar,to buy
hablo (hablar yo),I speak
Aquellas,those ones over there (feminine)
Ese,that one (masculine)
le,to him/her/it
el mercado (al aire libre),(outdoor) market
hago (hacer yo),I do
el psicólogo,psychologist
actual,current (not actual)
blanco,white
bailar,to dance
Bienvenido/a,Welcome
Clase,Class
juegas (jugar tú),You play
dieciocho,18
me,to me
¿Cuánto cuesta este vestido?,How much does this dress cost?
talentoso,talented
cantar,to sing
¿Qué tal?,How are you? (informal)
la excursión,excursion
el sombrero,hat
la bufanda,scarf
pasar tiempo con,to spend time with
encontrar (o --> ue),to find
Aquél,that one over there (masculine)
grande,big/large
vive/viven,he/she lives/they live
pensamos (pensar nosotros/as),We think
rebajar,to lower (the price of something)
perezoso/a,lazy
duerme (dormir él/ella/Ud.),He/She/You sleep
los aretes,earrings
30,treinta
Estoy mal,I’m not well
viajar,to travel
informal,casual
el doctor,doctor
doce,12
soy,I am
¿Cómo se llama usted?,What is your name?
la tienda,store
el billete de ida y vuelta,round-trip ticket
atlético,athletic
los calcetines,socks
20,veinte
duermes (dormir tú),You sleep
¿Dónde está la tienda de deportes?,Where is the sports store?
juego (jugar yo),I play
ustedes,you all (formal Latin America)
gracioso,funny
nos,to us
tener,to have
¿Cuánto/a/os/as?,How much/many?
